2025-04-16 20:44:17.946 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-04-16 20:44:18.985 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 开始系统初始化...
2025-04-16 20:44:18.985 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 初始化文件上传目录: /d:/Workspace/campus/uploads
2025-04-16 20:44:18.989 [main] INFO  c.campus.utils.InitializationUtils - 文件上传目录初始化完成: /d:/Workspace/campus/uploads
2025-04-16 20:44:18.989 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 系统初始化完成
2025-04-16 20:44:18.991 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - Web应用初始化开始...
2025-04-16 20:44:18.992 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - 开始初始化文件上传目录
2025-04-16 20:44:18.995 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - 文件上传目录初始化完成
2025-04-16 20:44:18.996 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - Web应用初始化完成
2025-04-16 22:21:17.194 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-04-16 22:21:18.301 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 开始系统初始化...
2025-04-16 22:21:18.302 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 初始化文件上传目录: /d:/Workspace/campus/uploads
2025-04-16 22:21:18.307 [main] INFO  c.campus.utils.InitializationUtils - 文件上传目录初始化完成: /d:/Workspace/campus/uploads
2025-04-16 22:21:18.307 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 系统初始化完成
2025-04-16 22:21:18.312 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - Web应用初始化开始...
2025-04-16 22:21:18.312 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - 开始初始化文件上传目录
2025-04-16 22:21:18.314 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - 文件上传目录初始化完成
2025-04-16 22:21:18.314 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - Web应用初始化完成
