2025-04-17 00:21:02.732 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-04-17 00:21:03.931 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 开始系统初始化...
2025-04-17 00:21:03.931 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 初始化文件上传目录: /d:/Workspace/campus/uploads
2025-04-17 00:21:03.934 [main] INFO  c.campus.utils.InitializationUtils - 文件上传目录初始化完成: /d:/Workspace/campus/uploads
2025-04-17 00:21:03.935 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 系统初始化完成
2025-04-17 00:21:03.937 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - Web应用初始化开始...
2025-04-17 00:21:03.938 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - 开始初始化文件上传目录
2025-04-17 00:21:03.942 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - 文件上传目录初始化完成
2025-04-17 00:21:03.942 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - Web应用初始化完成
2025-04-17 00:25:01.998 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-04-17 00:25:03.115 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 开始系统初始化...
2025-04-17 00:25:03.115 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 初始化文件上传目录: /d:/Workspace/campus/uploads
2025-04-17 00:25:03.119 [main] INFO  c.campus.utils.InitializationUtils - 文件上传目录初始化完成: /d:/Workspace/campus/uploads
2025-04-17 00:25:03.119 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 系统初始化完成
2025-04-17 00:25:03.121 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - Web应用初始化开始...
2025-04-17 00:25:03.121 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - 开始初始化文件上传目录
2025-04-17 00:25:03.123 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - 文件上传目录初始化完成
2025-04-17 00:25:03.123 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - Web应用初始化完成
2025-04-17 01:09:45.894 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-04-17 01:09:46.949 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 开始系统初始化...
2025-04-17 01:09:46.949 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 初始化文件上传目录: /d:/Workspace/campus/uploads
2025-04-17 01:09:46.954 [main] INFO  c.campus.utils.InitializationUtils - 文件上传目录初始化完成: /d:/Workspace/campus/uploads
2025-04-17 01:09:46.954 [main] INFO  c.c.u.InitializationUtils$SystemInitializer - 系统初始化完成
2025-04-17 01:09:46.956 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - Web应用初始化开始...
2025-04-17 01:09:46.956 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - 开始初始化文件上传目录
2025-04-17 01:09:46.959 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - 文件上传目录初始化完成
2025-04-17 01:09:46.959 [main] INFO  c.c.u.InitializationUtils$WebContextInitializer - Web应用初始化完成
